Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
United States,Belarus,Import,  All Products,Import (US$ Thousand),,29612.208,39088.92,60474.18,49789.848,56675.944,70082.064,112563.032,99819.904,104003.947,108228.932,136455.476,237008.63,375316.129,381251.167,584749.693,1100830.581,1118561.762,596393.706,181892.837,374264.35,153440.844,104889.262,140611.471,166338.046,143509.212,294890.925,417808.53
United States,Belgium,Import,  All Products,Import (US$ Thousand),,,,,,,,,9423239.168,9929161.135,10157634.79,10037911.97,10401248.02,12809963.95,13405067.74,14788625,15676011.41,17758479.94,13997086.58,15842319.37,17804275.41,17366742.38,19011553.03,21383561.02,20012244.6,17451672.61,15422827.33,17877011.42
United States,Belgium-Luxembourg,Import,  All Products,Import (US$ Thousand),4254194.432,4847245.312,5598067.2,6861715.968,6478668.8,7185325.568,8371173.376,9036061.696,,,,,,,,,,,,,,,,,,,,
United States,Belize,Import,  All Products,Import (US$ Thousand),47762.596,61944.08,57527.528,54172.044,55937.888,72562.352,82274.28,70359.48,84406.984,93555.379,97401.187,83489.906,106084.88,113154.782,104164.771,155877.776,113431.471,163516.673,108074.308,130121.131,199976.242,161832.1,127129.431,103531.101,81461.015,58058.601,280618.442,229027.05
United States,Benin,Import,  All Products,Import (US$ Thousand),24988.436,10258.025,16931.872,11346.474,10852.834,19547.066,9053.803,4419.292,20236.996,2439.701,1286.336,787.546,682.952,1637.298,572.742,633.475,5120.94,32832.685,474.194,301.185,2018.589,2673.58,3128.498,5534.069,5111.324,7272.705,18113.626,19438.582
United States,Bermuda,Import,  All Products,Import (US$ Thousand),9134.995,24621.404,14812.216,9258.937,10652.032,11377.879,30088.768,11718.433,25361.336,38987.974,65627.202,23447.946,15559.797,25359.621,88164.711,16615.024,24307.289,140704.279,13613.933,23073.347,60304.959,83778.187,60814.6,37125.606,109290.136,25207.118,34449.016,18716.515
United States,Bhutan,Import,  All Products,Import (US$ Thousand),21.06,70.61,89.216,45.708,144.915,106.893,1053.01,1129.581,460.9,827.508,953.264,972.375,527.214,232.069,667.438,1107.778,837.954,463.761,219.972,406.481,543.454,568.747,538.582,306.482,3621.451,4272.858,1222.537,842.497
United States,Bolivia,Import,  All Products,Import (US$ Thousand),216352.736,166312.192,196390.784,268366.16,270581.344,283804.8,231756.448,233715.84,225973.504,184797.662,166352.322,166886.845,191869.619,272658.628,307606.502,377618.988,376820.749,526008.058,522529.897,694166.882,915072.262,1682149.383,1251391.005,1943178.013,1014380.915,983769.632,573809.549,494389.452
United States,Bosnia and Herzegovina,Import,  All Products,Import (US$ Thousand),,10311.454,8072.669,4708.258,3478.307,10818.958,8829.923,7775.937,15677.856,17805.255,11880.65,16795.039,12614.839,12204.362,72784.226,27026.954,26385.254,27973.33,26076.733,26864.921,51573.543,51579.899,57733.704,86158.929,81000.573,78353.532,88786.587,106530.027
United States,Botswana,Import,  All Products,Import (US$ Thousand),,,,,,,,,,40870.908,20956.456,29858.07,14217.839,74767.933,179674.438,253609.829,188838.181,219713.381,132737.536,170456.077,294171.881,221039.055,277714.441,323786.091,220334.339,444441.138,784489.174,468880.702
United States,Brazil,Import,  All Products,Import (US$ Thousand),7222117.376,8144448,8021263.36,9307302.912,9428286.464,9296194.56,10149453.82,10642211.84,11896363.01,13852522.37,14466412.46,16690150.25,18991824.51,22738203.21,26217184.8,28031247.07,27193409.75,32072884.6,21017804.64,25009190.21,32838643.29,32123374.96,27630989.08,31607113.62,28517865.65,27047003.99,30551943.38,32286167.96
United States,British Indian Ocean Ter.,Import,  All Products,Import (US$ Thousand),1478.98,244.668,71.07,887.538,1922.854,3476.618,11901.928,478.366,350.563,2894.207,346.746,421.001,1292.407,591.017,462.758,830.957,44.141,2121.059,403.216,1477.915,6083.098,19452.854,17739.892,14304.836,16154.084,12213.503,8474.008,118.993
